,summary_method,summary_percentage,ranking,ranking_how,ranking_perc_threshold,confidence,relation,meteor_pr,meteor_re,meteor_f1,rouge-2_pr,rouge-2_re,rouge-2_f1
431,chat-gpt,30,word2vec,single,70.0,0.7,rebel\_hf,34.7,19.8,24.5,23.5,2.2,4.0
566,chat-gpt,30,word2vec,single,70.0,0.7,rebel\_ft,33.3,21.1,25.3,20.0,3.6,5.9
636,chat-gpt,50,page\_rank,all,15.0,0.5,rebel\_ft,24.2,26.5,24.7,12.2,8.1,9.2
758,chat-gpt,50,page\_rank,all,15.0,0.5,rebel\_hf,27.0,23.4,24.6,15.1,5.9,8.1
114,chat-gpt,50,page\_rank,all,15.0,0.7,rebel\_ft,24.2,26.5,24.7,12.0,8.0,9.1
538,chat-gpt,50,page\_rank,all,15.0,0.7,rebel\_hf,27.0,23.4,24.6,15.0,5.9,8.1
191,chat-gpt,50,page\_rank,all,30.0,0.5,rebel\_ft,30.2,26.3,27.7,17.2,6.1,8.5
402,chat-gpt,50,page\_rank,all,30.0,0.5,rebel\_hf,32.4,22.9,26.3,19.9,3.8,6.1
63,chat-gpt,50,page\_rank,all,30.0,0.7,rebel\_ft,30.2,26.3,27.7,17.1,6.1,8.5
354,chat-gpt,50,page\_rank,all,30.0,0.7,rebel\_hf,32.4,22.9,26.3,20.3,3.8,6.2
347,chat-gpt,50,page\_rank,all,50.0,0.5,rebel\_hf,35.4,21.6,26.2,24.9,2.8,4.8
655,chat-gpt,50,page\_rank,all,50.0,0.5,rebel\_ft,33.3,23.7,27.1,21.0,4.3,6.9
322,chat-gpt,50,page\_rank,all,50.0,0.7,rebel\_hf,35.4,21.6,26.2,25.0,2.7,4.8
689,chat-gpt,50,page\_rank,all,50.0,0.7,rebel\_ft,33.3,23.7,27.1,21.1,4.3,6.9
24,chat-gpt,50,page\_rank,all,70.0,0.5,rebel\_ft,34.8,22.4,26.9,23.0,3.4,5.8
418,chat-gpt,50,page\_rank,all,70.0,0.5,rebel\_hf,36.3,20.6,25.8,26.5,2.2,3.9
172,chat-gpt,50,page\_rank,all,70.0,0.7,rebel\_ft,34.8,22.4,26.9,23.1,3.4,5.7
565,chat-gpt,50,page\_rank,all,70.0,0.7,rebel\_hf,36.3,20.6,25.8,26.5,2.1,3.9
169,chat-gpt,50,page\_rank,single,15.0,0.5,rebel\_ft,21.4,22.9,21.5,8.9,6.8,6.9
544,chat-gpt,50,page\_rank,single,15.0,0.5,rebel\_hf,24.7,21.3,22.3,12.2,5.5,7.2
536,chat-gpt,50,page\_rank,single,15.0,0.7,rebel\_ft,21.4,22.9,21.5,8.9,6.8,6.9
711,chat-gpt,50,page\_rank,single,15.0,0.7,rebel\_hf,24.7,21.3,22.3,12.1,5.4,7.1
384,chat-gpt,50,page\_rank,single,30.0,0.5,rebel\_ft,27.5,22.2,24.2,15.3,5.9,7.9
691,chat-gpt,50,page\_rank,single,30.0,0.5,rebel\_hf,29.9,20.9,24.1,18.5,3.8,6.1
440,chat-gpt,50,page\_rank,single,30.0,0.7,rebel\_ft,27.5,22.2,24.2,15.3,5.9,7.9
628,chat-gpt,50,page\_rank,single,30.0,0.7,rebel\_hf,29.9,20.9,24.1,18.5,3.8,6.1
155,chat-gpt,50,page\_rank,single,50.0,0.5,rebel\_ft,32.8,22.4,26.1,19.9,4.4,6.9
643,chat-gpt,50,page\_rank,single,50.0,0.5,rebel\_hf,34.4,20.6,25.2,23.7,2.8,4.9
183,chat-gpt,50,page\_rank,single,50.0,0.7,rebel\_ft,32.8,22.4,26.1,19.9,4.4,6.9
190,chat-gpt,50,page\_rank,single,50.0,0.7,rebel\_hf,34.4,20.6,25.2,23.6,2.8,4.8
103,chat-gpt,50,page\_rank,single,70.0,0.5,rebel\_hf,35.6,19.9,24.9,25.1,2.2,4.0
547,chat-gpt,50,page\_rank,single,70.0,0.5,rebel\_ft,34.4,21.5,26.1,21.8,3.5,5.8
459,chat-gpt,50,page\_rank,single,70.0,0.7,rebel\_hf,35.6,19.9,24.9,24.9,2.2,4.0
462,chat-gpt,50,page\_rank,single,70.0,0.7,rebel\_ft,34.4,21.5,26.1,21.6,3.5,5.8
204,chat-gpt,50,tfidf,all,15.0,0.5,rebel\_ft,23.4,22.9,21.9,10.5,7.7,7.7
583,chat-gpt,50,tfidf,all,15.0,0.5,rebel\_hf,27.4,21.2,23.2,15.2,5.2,7.3
45,chat-gpt,50,tfidf,all,15.0,0.7,rebel\_hf,27.4,21.2,23.2,15.1,5.1,7.2
468,chat-gpt,50,tfidf,all,15.0,0.7,rebel\_ft,23.4,22.9,21.9,10.7,7.8,7.8
44,chat-gpt,50,tfidf,all,30.0,0.5,rebel\_hf,32.5,21.2,24.9,21.3,3.7,6.0
509,chat-gpt,50,tfidf,all,30.0,0.5,rebel\_ft,29.3,23.0,25.1,16.6,6.0,8.1
61,chat-gpt,50,tfidf,all,30.0,0.7,rebel\_hf,32.5,21.2,24.9,21.4,3.7,6.1
233,chat-gpt,50,tfidf,all,30.0,0.7,rebel\_ft,29.3,23.0,25.1,16.0,5.9,7.9
165,chat-gpt,50,tfidf,all,50.0,0.5,rebel\_hf,34.5,20.6,25.0,24.0,2.6,4.5
676,chat-gpt,50,tfidf,all,50.0,0.5,rebel\_ft,32.0,22.2,25.7,20.4,4.5,7.0
277,chat-gpt,50,tfidf,all,50.0,0.7,rebel\_ft,32.0,22.2,25.7,19.9,4.3,6.7
548,chat-gpt,50,tfidf,all,50.0,0.7,rebel\_hf,34.5,20.6,25.0,23.9,2.5,4.5
599,chat-gpt,50,tfidf,all,70.0,0.5,rebel\_ft,35.1,22.3,26.8,23.0,3.6,5.9
665,chat-gpt,50,tfidf,all,70.0,0.5,rebel\_hf,36.2,20.2,25.3,25.7,2.0,3.7
5,chat-gpt,50,tfidf,all,70.0,0.7,rebel\_ft,35.1,22.3,26.8,22.8,3.5,5.8
267,chat-gpt,50,tfidf,all,70.0,0.7,rebel\_hf,36.2,20.2,25.3,26.4,2.1,3.8
72,chat-gpt,50,tfidf,single,15.0,0.5,rebel\_hf,26.8,21.4,22.9,13.6,7.1,8.6
254,chat-gpt,50,tfidf,single,15.0,0.5,rebel\_ft,21.1,22.3,20.4,8.6,9.9,8.0
345,chat-gpt,50,tfidf,single,15.0,0.7,rebel\_ft,21.1,22.3,20.4,8.7,10.2,8.2
427,chat-gpt,50,tfidf,single,15.0,0.7,rebel\_hf,26.8,21.4,22.9,13.7,7.0,8.5
569,chat-gpt,50,tfidf,single,30.0,0.5,rebel\_ft,27.6,22.5,24.2,15.8,6.4,8.4
618,chat-gpt,50,tfidf,single,30.0,0.5,rebel\_hf,31.5,21.1,24.6,20.4,4.3,6.8
298,chat-gpt,50,tfidf,single,30.0,0.7,rebel\_ft,27.6,22.5,24.2,15.9,6.4,8.4
327,chat-gpt,50,tfidf,single,30.0,0.7,rebel\_hf,31.5,21.1,24.6,20.2,4.2,6.7
140,chat-gpt,50,tfidf,single,50.0,0.5,rebel\_hf,34.6,21.0,25.5,24.3,2.8,4.9
474,chat-gpt,50,tfidf,single,50.0,0.5,rebel\_ft,31.9,22.6,25.9,19.4,4.3,6.7
438,chat-gpt,50,tfidf,single,50.0,0.7,rebel\_hf,34.6,21.0,25.5,23.8,2.7,4.8
654,chat-gpt,50,tfidf,single,50.0,0.7,rebel\_ft,31.9,22.6,25.9,19.6,4.4,6.8
250,chat-gpt,50,tfidf,single,70.0,0.5,rebel\_ft,35.2,22.3,26.8,22.1,3.7,6.1
478,chat-gpt,50,tfidf,single,70.0,0.5,rebel\_hf,36.3,20.6,25.7,25.8,2.3,4.1
194,chat-gpt,50,tfidf,single,70.0,0.7,rebel\_hf,36.3,20.6,25.7,25.1,2.2,3.9
329,chat-gpt,50,tfidf,single,70.0,0.7,rebel\_ft,35.2,22.3,26.8,22.6,3.7,6.1
410,chat-gpt,50,word2vec,all,15.0,0.5,rebel\_ft,26.5,26.5,25.6,14.1,9.7,10.2
685,chat-gpt,50,word2vec,all,15.0,0.5,rebel\_hf,28.6,24.1,25.2,17.6,5.9,8.2
119,chat-gpt,50,word2vec,all,15.0,0.7,rebel\_ft,26.2,27.3,25.8,14.4,9.5,10.2
373,chat-gpt,50,word2vec,all,15.0,0.7,rebel\_hf,29.2,25.1,26.0,18.0,5.9,8.4
330,chat-gpt,50,word2vec,all,30.0,0.5,rebel\_hf,33.3,23.4,26.6,20.9,3.7,6.0
707,chat-gpt,50,word2vec,all,30.0,0.5,rebel\_ft,31.0,26.7,27.9,18.0,6.3,8.5
714,chat-gpt,50,word2vec,all,30.0,0.7,rebel\_hf,32.9,23.3,26.4,21.1,3.8,6.2
743,chat-gpt,50,word2vec,all,30.0,0.7,rebel\_ft,30.2,25.8,27.0,17.5,6.2,8.4
178,chat-gpt,50,word2vec,all,50.0,0.5,rebel\_hf,35.6,22.2,26.6,23.6,2.6,4.6
193,chat-gpt,50,word2vec,all,50.0,0.5,rebel\_ft,33.8,24.3,27.7,20.8,4.3,6.8
265,chat-gpt,50,word2vec,all,50.0,0.7,rebel\_hf,35.6,21.9,26.4,23.7,2.6,4.6
290,chat-gpt,50,word2vec,all,50.0,0.7,rebel\_ft,34.0,24.1,27.6,20.4,4.3,6.8
496,chat-gpt,50,word2vec,all,70.0,0.5,rebel\_ft,35.6,23.0,27.4,22.5,3.4,5.7
741,chat-gpt,50,word2vec,all,70.0,0.5,rebel\_hf,37.0,20.9,26.1,26.4,2.1,3.8
226,chat-gpt,50,word2vec,all,70.0,0.7,rebel\_hf,37.0,20.8,26.0,26.1,2.1,3.8
465,chat-gpt,50,word2vec,all,70.0,0.7,rebel\_ft,35.2,23.0,27.3,22.4,3.5,5.8
337,chat-gpt,50,word2vec,single,15.0,0.5,rebel\_ft,21.5,21.3,20.4,9.1,7.7,7.6
358,chat-gpt,50,word2vec,single,15.0,0.5,rebel\_hf,25.3,21.4,22.4,12.3,5.8,7.4
142,chat-gpt,50,word2vec,single,15.0,0.7,rebel\_hf,25.3,21.4,22.4,12.3,5.8,7.4
563,chat-gpt,50,word2vec,single,15.0,0.7,rebel\_ft,21.5,21.3,20.4,9.1,7.7,7.6
115,chat-gpt,50,word2vec,single,30.0,0.5,rebel\_ft,27.2,21.7,23.7,14.3,5.8,7.7
490,chat-gpt,50,word2vec,single,30.0,0.5,rebel\_hf,30.6,21.1,24.4,19.5,4.1,6.5
288,chat-gpt,50,word2vec,single,30.0,0.7,rebel\_ft,27.2,21.7,23.7,14.3,5.8,7.7
732,chat-gpt,50,word2vec,single,30.0,0.7,rebel\_hf,30.6,21.1,24.4,19.5,4.1,6.5
177,chat-gpt,50,word2vec,single,50.0,0.5,rebel\_hf,33.3,20.4,24.8,22.8,2.7,4.7
750,chat-gpt,50,word2vec,single,50.0,0.5,rebel\_ft,32.3,22.1,25.7,19.1,4.3,6.8
453,chat-gpt,50,word2vec,single,50.0,0.7,rebel\_hf,33.3,20.4,24.8,22.8,2.7,4.7
721,chat-gpt,50,word2vec,single,50.0,0.7,rebel\_ft,32.3,22.1,25.7,19.1,4.4,6.8
301,chat-gpt,50,word2vec,single,70.0,0.5,rebel\_hf,35.4,20.1,25.1,24.6,2.2,3.9
558,chat-gpt,50,word2vec,single,70.0,0.5,rebel\_ft,34.2,21.6,26.0,21.3,3.5,5.8
27,chat-gpt,50,word2vec,single,70.0,0.7,rebel\_ft,34.2,21.6,26.0,21.3,3.5,5.8
221,chat-gpt,50,word2vec,single,70.0,0.7,rebel\_hf,35.4,20.1,25.1,24.6,2.2,3.9
414,chat-gpt,70,page\_rank,all,15.0,0.5,rebel\_ft,25.7,26.9,25.9,13.8,8.2,9.6
564,chat-gpt,70,page\_rank,all,15.0,0.5,rebel\_hf,27.4,24.8,25.4,16.3,5.6,8.0
346,chat-gpt,70,page\_rank,all,15.0,0.7,rebel\_hf,27.4,24.8,25.4,16.2,5.6,7.9
739,chat-gpt,70,page\_rank,all,15.0,0.7,rebel\_ft,25.7,26.9,25.9,13.7,8.2,9.6
380,chat-gpt,70,page\_rank,all,30.0,0.5,rebel\_hf,31.4,23.3,26.0,21.0,3.6,6.0
488,chat-gpt,70,page\_rank,all,30.0,0.5,rebel\_ft,30.2,25.8,26.9,17.7,5.5,7.9
56,chat-gpt,70,page\_rank,all,30.0,0.7,rebel\_ft,30.2,25.8,26.9,17.8,5.6,8.0
314,chat-gpt,70,page\_rank,all,30.0,0.7,rebel\_hf,31.4,23.3,26.0,21.1,3.7,6.1
511,chat-gpt,70,page\_rank,all,50.0,0.5,rebel\_ft,34.1,23.9,27.5,21.4,4.0,6.5
760,chat-gpt,70,page\_rank,all,50.0,0.5,rebel\_hf,34.8,21.8,26.3,24.3,2.6,4.5
202,chat-gpt,70,page\_rank,all,50.0,0.7,rebel\_ft,34.1,23.9,27.5,21.6,4.1,6.6
448,chat-gpt,70,page\_rank,all,50.0,0.7,rebel\_hf,34.8,21.8,26.3,24.2,2.6,4.5
371,chat-gpt,70,page\_rank,all,70.0,0.5,rebel\_ft,35.7,22.4,27.0,23.5,3.1,5.4
456,chat-gpt,70,page\_rank,all,70.0,0.5,rebel\_hf,36.1,20.7,25.8,26.1,2.0,3.6
261,chat-gpt,70,page\_rank,all,70.0,0.7,rebel\_ft,35.7,22.4,27.0,23.4,3.1,5.4
305,chat-gpt,70,page\_rank,all,70.0,0.7,rebel\_hf,36.1,20.7,25.8,26.3,2.0,3.6
364,chat-gpt,70,page\_rank,single,15.0,0.5,rebel\_ft,21.6,24.5,22.6,11.0,8.0,8.6
455,chat-gpt,70,page\_rank,single,15.0,0.5,rebel\_hf,24.9,23.6,23.7,13.4,6.8,8.5
143,chat-gpt,70,page\_rank,single,15.0,0.7,rebel\_hf,24.9,23.6,23.7,13.4,6.8,8.5
635,chat-gpt,70,page\_rank,single,15.0,0.7,rebel\_ft,21.6,24.5,22.6,11.0,8.0,8.6
321,chat-gpt,70,page\_rank,single,30.0,0.5,rebel\_hf,30.7,22.3,25.3,19.4,4.1,6.6
735,chat-gpt,70,page\_rank,single,30.0,0.5,rebel\_ft,27.6,23.3,24.8,15.5,5.3,7.5
174,chat-gpt,70,page\_rank,single,30.0,0.7,rebel\_ft,27.6,23.3,24.8,15.5,5.3,7.5
256,chat-gpt,70,page\_rank,single,30.0,0.7,rebel\_hf,30.7,22.3,25.3,19.4,4.1,6.6
697,chat-gpt,70,page\_rank,single,50.0,0.5,rebel\_ft,32.7,22.7,26.3,20.7,4.0,6.4
713,chat-gpt,70,page\_rank,single,50.0,0.5,rebel\_hf,34.0,21.3,25.7,23.1,2.5,4.4
555,chat-gpt,70,page\_rank,single,50.0,0.7,rebel\_ft,32.7,22.7,26.3,20.7,4.0,6.4
620,chat-gpt,70,page\_rank,single,50.0,0.7,rebel\_hf,34.0,21.3,25.7,23.3,2.6,4.5
258,chat-gpt,70,page\_rank,single,70.0,0.5,rebel\_hf,35.4,20.4,25.4,25.2,2.0,3.7
432,chat-gpt,70,page\_rank,single,70.0,0.5,rebel\_ft,34.7,21.7,26.2,22.9,3.2,5.5
136,chat-gpt,70,page\_rank,single,70.0,0.7,rebel\_ft,34.7,21.7,26.2,23.1,3.2,5.5
280,chat-gpt,70,page\_rank,single,70.0,0.7,rebel\_hf,35.4,20.4,25.4,25.4,2.0,3.7
32,chat-gpt,70,tfidf,all,15.0,0.5,rebel\_ft,23.4,22.2,22.2,11.5,7.2,8.3
309,chat-gpt,70,tfidf,all,15.0,0.5,rebel\_hf,27.6,21.2,23.4,16.0,4.9,7.2
238,chat-gpt,70,tfidf,all,15.0,0.7,rebel\_hf,27.6,21.2,23.4,15.7,4.8,7.1
598,chat-gpt,70,tfidf,all,15.0,0.7,rebel\_ft,23.4,22.2,22.78421052631579,11.4,7.0,8.2
292,chat-gpt,70,tfidf,all,30.0,0.5,rebel\_hf,32.4,21.2,25.0,21.0,3.4,5.7
489,chat-gpt,70,tfidf,all,30.0,0.5,rebel\_ft,29.5,22.3,24.9,17.4,5.4,7.9
289,chat-gpt,70,tfidf,all,30.0,0.7,rebel\_hf,32.4,21.2,25.0,20.7,3.4,5.6
328,chat-gpt,70,tfidf,all,30.0,0.7,rebel\_ft,29.5,22.3,24.9,17.0,5.3,7.7
166,chat-gpt,70,tfidf,all,50.0,0.5,rebel\_hf,34.6,20.3,25.0,23.4,2.4,4.2
310,chat-gpt,70,tfidf,all,50.0,0.5,rebel\_ft,32.7,21.8,25.6,20.4,3.8,6.2
21,chat-gpt,70,tfidf,all,50.0,0.7,rebel\_hf,34.6,20.3,25.0,23.7,2.4,4.3
232,chat-gpt,70,tfidf,all,50.0,0.7,rebel\_ft,32.7,21.8,25.6,20.4,3.8,6.2
157,chat-gpt,70,tfidf,all,70.0,0.5,rebel\_hf,36.9,19.8,25.3,26.2,1.9,3.5
630,chat-gpt,70,tfidf,all,70.0,0.5,rebel\_ft,35.6,21.3,26.1,23.4,3.1,5.4
73,chat-gpt,70,tfidf,all,70.0,0.7,rebel\_ft,35.6,21.3,26.1,23.3,3.1,5.4
749,chat-gpt,70,tfidf,all,70.0,0.7,rebel\_hf,36.9,19.8,25.3,26.1,1.9,3.5
446,chat-gpt,70,tfidf,single,15.0,0.5,rebel\_ft,19.2,21.1,19.7,8.1,6.6,6.7
589,chat-gpt,70,tfidf,single,15.0,0.5,rebel\_hf,24.7,20.7,21.7,11.1,5.0,6.4
415,chat-gpt,70,tfidf,single,15.0,0.7,rebel\_hf,24.7,20.7,21.7,11.3,5.1,6.6
505,chat-gpt,70,tfidf,single,15.0,0.7,rebel\_ft,19.2,21.1,19.7,8.1,6.4,6.6
641,chat-gpt,70,tfidf,single,30.0,0.5,rebel\_ft,28.5,23.1,25.0,15.2,5.3,7.5
717,chat-gpt,70,tfidf,single,30.0,0.5,rebel\_hf,31.6,21.2,24.8,19.2,3.8,6.1
130,chat-gpt,70,tfidf,single,30.0,0.7,rebel\_hf,31.6,21.2,24.8,19.7,3.8,6.2
659,chat-gpt,70,tfidf,single,30.0,0.7,rebel\_ft,28.5,23.1,25.0,15.1,5.3,7.4
580,chat-gpt,70,tfidf,single,50.0,0.5,rebel\_ft,33.5,22.4,26.4,20.0,3.9,6.3
605,chat-gpt,70,tfidf,single,50.0,0.5,rebel\_hf,35.0,20.7,25.4,22.8,2.5,4.3
176,chat-gpt,70,tfidf,single,50.0,0.7,rebel\_ft,33.5,22.4,26.4,20.5,4.0,6.5
516,chat-gpt,70,tfidf,single,50.0,0.7,rebel\_hf,35.0,20.7,25.4,22.7,2.4,4.3
23,chat-gpt,70,tfidf,single,70.0,0.5,rebel\_hf,36.4,20.3,25.5,25.2,2.0,3.7
571,chat-gpt,70,tfidf,single,70.0,0.5,rebel\_ft,35.1,21.8,26.4,22.5,3.2,5.5
80,chat-gpt,70,tfidf,single,70.0,0.7,rebel\_ft,35.1,21.8,26.4,22.7,3.3,5.6
339,chat-gpt,70,tfidf,single,70.0,0.7,rebel\_hf,36.4,20.3,25.5,25.3,2.0,3.7
567,chat-gpt,70,word2vec,all,15.0,0.5,rebel\_ft,25.9,28.2,26.2,13.7,7.7,9.3
624,chat-gpt,70,word2vec,all,15.0,0.5,rebel\_hf,28.6,25.9,26.5,17.0,5.6,8.1
447,chat-gpt,70,word2vec,all,15.0,0.7,rebel\_ft,26.2,30.2,26.6,13.3,9.5,9.8
755,chat-gpt,70,word2vec,all,15.0,0.7,rebel\_hf,28.5,25.8,26.4,17.2,5.9,8.4
530,chat-gpt,70,word2vec,all,30.0,0.5,rebel\_hf,32.2,23.4,26.4,20.8,3.5,5.9
727,chat-gpt,70,word2vec,all,30.0,0.5,rebel\_ft,30.0,26.0,27.2,16.6,4.9,7.2
365,chat-gpt,70,word2vec,all,30.0,0.7,rebel\_hf,32.6,23.3,26.6,21.4,3.6,6.0
411,chat-gpt,70,word2vec,all,30.0,0.7,rebel\_ft,30.1,26.5,27.3,16.8,5.9,7.8
409,chat-gpt,70,word2vec,all,50.0,0.5,rebel\_ft,34.2,24.7,28.1,21.2,4.1,6.5
702,chat-gpt,70,word2vec,all,50.0,0.5,rebel\_hf,35.2,22.2,26.7,24.8,2.5,4.5
574,chat-gpt,70,word2vec,all,50.0,0.7,rebel\_hf,35.3,22.1,26.6,24.2,2.4,4.3
746,chat-gpt,70,word2vec,all,50.0,0.7,rebel\_ft,33.2,24.4,27.5,20.8,4.1,6.4
625,chat-gpt,70,word2vec,all,70.0,0.5,rebel\_ft,35.9,22.9,27.5,24.1,3.2,5.5
640,chat-gpt,70,word2vec,all,70.0,0.5,rebel\_hf,36.8,21.0,26.3,26.4,2.0,3.6
122,chat-gpt,70,word2vec,all,70.0,0.7,rebel\_hf,36.8,21.0,26.2,26.2,1.9,3.6
271,chat-gpt,70,word2vec,all,70.0,0.7,rebel\_ft,36.0,22.7,27.3,23.5,3.1,5.4
67,chat-gpt,70,word2vec,single,15.0,0.5,rebel\_hf,25.3,22.9,23.4,12.5,6.0,7.5
708,chat-gpt,70,word2vec,single,15.0,0.5,rebel\_ft,22.2,24.1,22.5,10.1,8.5,8.3
394,chat-gpt,70,word2vec,single,15.0,0.7,rebel\_ft,22.2,24.1,22.5,10.1,8.5,8.3
445,chat-gpt,70,word2vec,single,15.0,0.7,rebel\_hf,25.3,22.9,23.4,12.5,6.0,7.5
126,chat-gpt,70,word2vec,single,30.0,0.5,rebel\_hf,30.6,21.3,24.5,18.6,3.8,6.1
138,chat-gpt,70,word2vec,single,30.0,0.5,rebel\_ft,28.3,23.0,24.8,15.8,5.6,7.9
343,chat-gpt,70,word2vec,single,30.0,0.7,rebel\_hf,30.6,21.3,24.5,18.6,3.8,6.1
545,chat-gpt,70,word2vec,single,30.0,0.7,rebel\_ft,28.3,23.0,24.8,15.8,5.6,7.9
203,chat-gpt,70,word2vec,single,50.0,0.5,rebel\_hf,34.3,20.8,25.3,22.8,2.4,4.3
602,chat-gpt,70,word2vec,single,50.0,0.5,rebel\_ft,32.2,21.9,25.7,19.8,3.7,6.1
94,chat-gpt,70,word2vec,single,50.0,0.7,rebel\_hf,34.3,20.8,25.3,22.8,2.4,4.3
451,chat-gpt,70,word2vec,single,50.0,0.7,rebel\_ft,32.2,21.9,25.7,20.1,3.8,6.2
403,chat-gpt,70,word2vec,single,70.0,0.5,rebel\_ft,34.9,21.3,26.0,22.1,3.1,5.3
601,chat-gpt,70,word2vec,single,70.0,0.5,rebel\_hf,35.8,20.1,25.2,24.6,1.9,3.5
